index,三维坐标X,三维坐标Y,三维坐标Z,LAG_应变Exx
131,18.6663,49.6381,1040.14,-0.00124975
132,19.5577,49.6247,1040.32,-0.000931119
133,20.4533,49.6255,1040.57,-0.000738759
134,21.349,49.6336,1040.86,-0.000614188
135,22.2455,49.6423,1041.15,-0.00060479
136,23.1423,49.6501,1041.44,-0.000543757
137,24.0395,49.6583,1041.73,-0.000469208
138,24.9371,49.6661,1042.02,-0.000574803
139,25.8352,49.6748,1042.31,-0.000651718
140,26.7338,49.6797,1042.57,-0.00075058
141,27.6329,49.6917,1042.83,-0.000844204
142,28.5327,49.7125,1043.06,-0.000857064
143,36.6922,49.8121,1046.87,-9.58518e-05
144,37.5855,49.8403,1046.74,-0.0011207
145,38.4748,49.8349,1046.56,-0.00142796
146,39.3729,49.796,1046.68,-0.00140583
147,40.2795,49.802,1046.96,-0.00123738
148,41.185,49.8108,1047.24,-0.00125145
149,42.0932,49.8195,1047.54,-0.00115069
150,43.0019,49.827,1047.83,-0.000698745
151,43.9103,49.8349,1048.12,-0.000441811
152,44.8195,49.8429,1048.41,-0.000535867
153,45.7293,49.8506,1048.7,-0.000581228
154,46.637,49.8617,1048.97,-0.000712937
155,47.5467,49.8834,1049.24,-0.000911768
156,48.4556,49.9149,1049.47,-0.00115434
157,49.3676,49.9575,1049.72,-0.00147726
158,56.7072,50.0616,1052.43,0.00139832
159,57.6237,50.006,1052.74,0.00113067
160,58.5362,49.9894,1052.96,0.000839597
161,59.4471,49.9664,1053.12,0.000600333
162,60.3641,49.9708,1053.38,0.000398529
163,61.2844,49.9796,1053.68,0.000229596
164,62.2045,49.9868,1053.98,0.00011461
165,63.1257,49.9943,1054.27,1.93307e-05
166,64.0472,50.0023,1054.57,-7.50318e-05
167,64.9688,50.0101,1054.86,-1.8056e-05
168,65.8914,50.0179,1055.16,5.70954e-05
169,66.8153,50.03,1055.46,0.000187491
170,67.7388,50.0428,1055.76,0.000383508
171,68.6617,50.0651,1056.01,0.00058143
172,76.0933,50.2793,1058.56,-0.00188151
173,77.0264,50.2226,1058.96,-0.00142886
174,77.9419,50.1612,1059.08,-0.00110341
175,78.8675,50.1375,1059.32,-0.000763307
176,79.7998,50.137,1059.62,-0.000453866
177,80.7313,50.1458,1059.92,-0.000317286
178,81.6636,50.1542,1060.22,-3.9095e-05
179,82.5971,50.1623,1060.52,0.000179273
180,83.5311,50.1698,1060.81,0.000233174
181,84.4649,50.1773,1061.11,0.000278556
182,85.3995,50.1844,1061.41,0.000140688
183,86.3348,50.1916,1061.71,1.48086e-05
184,-28.0521,48.2849,1024.38,2.60539e-05
185,-27.1837,48.293,1024.68,0.000117573
186,-26.3147,48.3004,1024.98,0.00012082
187,-25.445,48.3088,1025.28,0.000106321
188,-24.5754,48.3161,1025.58,8.1188e-05
189,-23.7046,48.3251,1025.87,6.30935e-05
190,-22.834,48.3331,1026.17,4.16316e-05
191,-21.9626,48.341,1026.47,1.06682e-05
192,-21.0906,48.3493,1026.77,-1.52036e-05
193,-20.2185,48.3572,1027.07,-3.57314e-05
