odb_name,odb_path,status,ref,group_index,instance_index,step,frame_index,hole_count,solid_mean_max_principal_strain,solid_equivalent_stiffness,model_max_principal_strain,max_strain_concentration_factor,equivalent_stiffness,relative_equivalent_stiffness,top_node_count,bottom_node_count,top_mean_reaction,bottom_mean_reaction,top_mean_displacement,bottom_mean_displacement,warning,hole_01_x,hole_01_y,hole_01_local_max_principal_strain,hole_01_strain_concentration_factor,hole_02_x,hole_02_y,hole_02_local_max_principal_strain,hole_02_strain_concentration_factor,hole_03_x,hole_03_y,hole_03_local_max_principal_strain,hole_03_strain_concentration_factor,hole_04_x,hole_04_y,hole_04_local_max_principal_strain,hole_04_strain_concentration_factor,hole_05_x,hole_05_y,hole_05_local_max_principal_strain,hole_05_strain_concentration_factor,hole_06_x,hole_06_y,hole_06_local_max_principal_strain,hole_06_strain_concentration_factor,hole_07_x,hole_07_y,hole_07_local_max_principal_strain,hole_07_strain_concentration_factor,hole_08_x,hole_08_y,hole_08_local_max_principal_strain,hole_08_strain_concentration_factor,hole_09_x,hole_09_y,hole_09_local_max_principal_strain,hole_09_strain_concentration_factor,hole_10_x,hole_10_y,hole_10_local_max_principal_strain,hole_10_strain_concentration_factor,hole_11_x,hole_11_y,hole_11_local_max_principal_strain,hole_11_strain_concentration_factor,hole_12_x,hole_12_y,hole_12_local_max_principal_strain,hole_12_strain_concentration_factor,hole_13_x,hole_13_y,hole_13_local_max_principal_strain,hole_13_strain_concentration_factor,hole_14_x,hole_14_y,hole_14_local_max_principal_strain,hole_14_strain_concentration_factor,hole_15_x,hole_15_y,hole_15_local_max_principal_strain,hole_15_strain_concentration_factor,hole_16_x,hole_16_y,hole_16_local_max_principal_strain,hole_16_strain_concentration_factor,hole_17_x,hole_17_y,hole_17_local_max_principal_strain,hole_17_strain_concentration_factor,hole_18_x,hole_18_y,hole_18_local_max_principal_strain,hole_18_strain_concentration_factor,hole_19_x,hole_19_y,hole_19_local_max_principal_strain,hole_19_strain_concentration_factor,hole_20_x,hole_20_y,hole_20_local_max_principal_strain,hole_20_strain_concentration_factor,hole_21_x,hole_21_y,hole_21_local_max_principal_strain,hole_21_strain_concentration_factor,hole_22_x,hole_22_y,hole_22_local_max_principal_strain,hole_22_strain_concentration_factor,hole_23_x,hole_23_y,hole_23_local_max_principal_strain,hole_23_strain_concentration_factor,hole_24_x,hole_24_y,hole_24_local_max_principal_strain,hole_24_strain_concentration_factor
1_1_plate.odb,odb\1_1_plate.odb,ok,,1,1,Load,-1,24,0.000624999986030161,857.142844370433,0.00219135358929634,3.50616582124306,644.991670039531,0.752490292925766,161,161,32.2495840632397,-32.2495839018259,0.0500000007450581,-0.0500000007450581,,39.1347395514373,147.167985296913,0.00181054812856019,2.89687707044654,27.9847067606573,137.533941996096,0.00209650211036205,3.35440345155604,7.27561966137367,89.4659733520572,0.00152508192695677,2.44013113767202,7.9992678771212,143.757837218166,0.00188174960203469,3.01079943055211,54.8519507864723,91.8147514248685,0.00219135358929634,3.50616582124306,34.5427816867672,77.9300894954224,0.00200035353191197,3.20056572259737,17.3216088087607,38.5387418755405,0.00136743357870728,2.18789377483488,51.005359373642,122.740282671208,0.00171417649835348,2.7426824586693,9.98952746216907,14.8476517329335,0.00135600217618048,2.16960353038319,42.8554163216211,50.674242600126,0.00144735281355679,2.31576455345224,65.3603611526219,85.3074027096222,0.00213719112798572,3.41950588120906,19.7272172434286,57.5126931955387,0.00155272299889475,2.4843568537613,20.9914425858747,89.7473285404161,0.00143828231375664,2.30125175344762,72.524280378915,131.100862433481,0.00188687501940876,3.01900009853393,18.1588478411245,133.337550492819,0.00206574820913374,3.30519720849091,23.1446003075281,73.5456149698223,0.00191207590978593,3.05932152403865,33.9392194807771,21.8642473785267,0.00142486987169832,2.27979184567463,22.359912520989,118.65315578176,0.00117241370026022,1.87586196234514,7.48633570042412,79.3762700018796,0.00149710872210562,2.39537400890978,56.0377378058916,10.5482031822139,0.00144091330002993,2.30546133157897,9.78663390936765,119.597215081398,0.00155122647993267,2.48196242336845,18.84721138444,152.185309244267,0.00145687267649919,2.33099633450053,7.70003006541795,54.3755509761775,0.00182380364276469,2.9180858936478,72.7777072275847,109.322505075093,0.00214847386814654,3.43755826586988
1_2_plate.odb,odb\1_2_plate.odb,ok,,1,2,Load,-1,24,0.000624999986030161,857.142844370433,0.00214394670911133,3.43031481125164,644.574750097592,0.752003886319589,161,161,32.2287380236276,-32.2287379466229,0.0500000007450581,-0.0500000007450581,,13.8097302123019,123.117571652782,0.00198296085000038,3.17273743091682,65.3402766969157,30.1250893776981,0.001463059685193,2.3408955486319,27.1863690280177,34.5734743977309,0.00149308203253895,2.3889313054591,61.9495699378076,150.066051557621,0.00128547032363713,2.05675256379141,53.167050064966,22.9831144650401,0.0017231471138075,2.75703544371654,21.8206360663867,130.286888776125,0.00214394670911133,3.43031481125164,9.14677928135843,139.293628815455,0.00182164856232703,2.91463776487047,46.5096357918453,9.63203845408598,0.00148508010897785,2.37612822747517,60.2280910563847,118.735638199063,0.00160671724006534,2.57074764156523,36.9390865214147,56.4431396026947,0.00157709221821278,2.52334760554167,18.7090994969291,59.8801182532658,0.00140978454146534,2.25565531676237,56.6952210489025,62.7000267742673,0.00149497075472027,2.39195326101675,61.3655130734473,43.4532228270492,0.00121445977129042,1.94313567749714,11.0772107399793,87.4479783315207,0.00169810210354626,2.71696342640288,66.1349644681406,12.1231050351558,0.00145977200008929,2.33563525234838,8.71638846559053,27.2982335725035,0.00183761911466718,2.94019064918587,49.3254436234892,103.801648072939,0.0017641686135903,2.82266984483607,43.8452471336533,90.2969419888344,0.00145251268986613,2.3240203557317,38.9447262022638,114.493907022032,0.00183732982259244,2.93972778185594,70.0050172946923,131.757480284867,0.00166298495605588,2.66077598916239,71.0379428046955,74.3362122933037,0.00173150049522519,2.77040085428359,20.790067699081,97.9650423205659,0.00159353611525148,2.54965784139166,20.8141710076602,9.75418188969235,0.00137930840719491,2.20689350083977,72.8892929771516,98.5496181970074,0.00183639547321945,2.93823282282575
1_3_plate.odb,odb\1_3_plate.odb,ok,,1,3,Load,-1,24,0.000624999986030161,857.142844370433,0.00234372587874532,3.74996148981068,653.01991766134,0.761856581957444,161,161,32.6509963325832,-32.6509964066263,0.0500000007450581,-0.0500000007450581,,67.5167023347733,93.6162403748568,0.00138271087780595,2.21233745393911,11.1106325364538,91.8155868954694,0.00158192589879036,2.53108149463866,61.4062052414869,21.4568072380312,0.00130188756156713,2.08302014506653,7.77017033025704,40.4169681138647,0.00234372587874532,3.74996148981068,65.2081910047854,118.234939361682,0.00149744085501879,2.39590542158273,64.3715111205362,70.2741821564605,0.00204631173983216,3.27409885691327,29.1590815496488,46.0040526584737,0.00232377275824547,3.71803649629734,18.2700636447077,42.6138811334084,0.00226297695189714,3.6207632039658,32.3385481902163,62.1674451448539,0.00150354276411235,2.40566847635065,59.5269174038361,36.9941555444478,0.00145511713344604,2.32818746555271,21.6293365870326,114.098416360612,0.00143389194272459,2.29422715963931,70.3911410924337,79.988096027157,0.00200782832689583,3.21252539483887,13.1169071382756,29.9976426667399,0.00126720196567476,2.02752319039829,13.4699184182248,150.991089915588,0.0013643124839291,2.18290002307817,21.3282288863419,13.0043220261609,0.00137205398641527,2.1952864273329,33.184993618198,85.7518814954229,0.00150016904808581,2.40027053058752,32.4493933079449,97.17695887767,0.00143050367478281,2.2888059308113,67.2930031592774,49.9028650398036,0.00149514793884009,2.3922367556148,38.0690026294894,32.7156062228128,0.00175509892869741,2.80815834868308,14.0845376493678,56.6957309914007,0.00142407137900591,2.27851425733822,65.9232496705714,7.36783605408083,0.00132442289032042,2.11907667187773,55.5585088789728,133.251029797475,0.00144862022716552,2.31779241527153,52.8880315864094,74.4326600986967,0.00202830578200519,3.24528932374617,50.8179440261989,89.3632377859867,0.00164535944350064,2.63257516844366
1_4_plate.odb,odb\1_4_plate.odb,ok,,1,4,Load,-1,24,0.000624999986030161,857.142844370433,0.00203771330416203,3.26034135953355,648.145691501478,0.756169984686202,161,161,32.4072850713078,-32.4072850446523,0.0500000007450581,-0.0500000007450581,,64.8059395011469,44.9076265347762,0.00183002976700664,2.92804769265758,68.6471479606685,34.561415329199,0.00194140139501542,3.1062423014546,52.0148451619667,85.5581967416515,0.00176669808570296,2.82671700030678,10.5824329674267,84.9521026145971,0.00131575122941285,2.1052020141155,38.8395517769105,77.0747969374639,0.00186486938036978,2.98379107528458,12.7537671799051,121.361264429735,0.00161013868637383,2.57622195578118,29.5655491283377,117.83938072106,0.00197205971926451,3.15529562134956,9.87120165564332,150.536547856085,0.00142985954880714,2.28777532922719,71.8595498534127,113.380162134715,0.00185073504690081,2.96117614122874,29.2790322465453,42.586903055714,0.00145605334546417,2.3296854048152,36.9443778805291,23.5088110454441,0.00185202772263438,2.96324442244867,33.7608065577352,148.004435092953,0.00140976824332029,2.2556292397297,18.1435626627658,111.332991748373,0.00203771330416203,3.26034135953355,63.2858808947986,150.282560996133,0.00132884515915066,2.12615230216426,36.5216663000445,61.4116138351867,0.00123269972391427,1.9723196023476,14.7719452690324,57.3558482165562,0.00151496997568756,2.42395201527965,34.4289225699544,88.1834043942996,0.00151646521408111,2.4263443967628,64.9977615036298,129.648615895434,0.00141750602051616,2.26800968351982,59.3643934970743,65.1812727065741,0.00145479349885136,2.32766965018965,52.2558998146546,36.6689342028081,0.00183809315785766,2.94094911830759,26.5879814653526,16.8429513670019,0.00177059031557292,2.83294456823791,10.9053269157867,23.8023250309983,0.00164894305635244,2.6383089491347,7.32512604209254,100.027086375412,0.00203028786927462,3.24846066344814,51.0100921795059,15.9538360559531,0.00154666416347027,2.47466271686545
1_5_plate.odb,odb\1_5_plate.odb,ok,,1,5,Load,-1,24,0.000624999986030161,857.142844370433,0.00220445403829217,3.52712654010489,651.253988678791,0.759796331447104,161,161,32.5626999517405,-32.5626998865827,0.0500000007450581,-0.0500000007450581,,36.4091571914044,40.0786420611327,0.00220445403829217,3.52712654010489,72.5019054703607,67.3004720087837,0.00194430921692401,3.11089481661234,54.2418219592809,76.6373818530451,0.00125910900533199,2.01457445356044,29.3442083611351,100.298393790555,0.0016315778484568,2.61052461588065,65.2259543335779,29.5333842734484,0.0015431068604812,2.46897103195573,31.3863375391763,110.638611558436,0.00157120253425092,2.51392411099205,44.2023765590086,33.0949052884447,0.00215575913898647,3.44921469947431,61.2925642025816,110.778547181462,0.00134399847593158,2.15039760955567,40.76742326071,98.8627011335884,0.0017808637348935,2.84938203951825,53.7764215013524,44.9606869267962,0.00160531466826797,2.56850352663927,48.800427030202,144.713607745288,0.00129716587252915,2.07546544243691,33.9651269988876,146.162697322853,0.00146053882781416,2.3368621767356,47.4255663820303,129.963051821902,0.00138066080398858,2.209057335758,71.7316792763132,14.0480623050223,0.00185315578710288,2.96504932563862,71.5083660707949,78.2344707099516,0.00166614889167249,2.66583828626212,18.7702912750966,47.8478360877568,0.0016765029868111,2.68240483885418,64.4712055908165,129.88265633344,0.00148713181260973,2.37941095335955,9.73364203550888,152.309573177552,0.00163330137729645,2.61328226208573,21.0058761049063,19.2837521513235,0.00147443579044193,2.35909731743702,53.9250535973691,86.8332199345526,0.0014983348082751,2.3973357468248,10.0534060993267,70.0108927370771,0.00170014996547252,2.72024000555813,12.7313478045683,98.4630566829086,0.00157020159531385,2.51232260865694,15.1797296234606,116.997754323353,0.00166068936232477,2.65710303911052,52.7595414883567,61.9959980046941,0.00116208917461336,1.85934272094092
1_6_plate.odb,odb\1_6_plate.odb,ok,,1,6,Load,-1,24,0.000624999986030161,857.142844370433,0.00237298384308815,3.79677423380556,648.94835481356,0.757106425230918,161,161,32.4474182058565,-32.4474182425078,0.0500000007450581,-0.0500000007450581,,67.5178122154988,137.244698681117,0.00166417402215302,2.66267849496033,35.9190346373194,139.911228368866,0.00146953144576401,2.35125036577695,42.4686677675339,95.4731439898869,0.00237298384308815,3.79677423380556,8.68368150696534,10.5136808317824,0.00175666250288486,2.81066006743893,45.7956665472359,114.209277496598,0.00173129641916603,2.77007433258163,65.7173906701138,152.434763501832,0.00136744475457817,2.18791165622871,50.99931237789,85.9085314838466,0.00158231123350561,2.53169803019683,22.6443565637064,30.0994782019673,0.00157974020112306,2.52758437829281,10.3897340893697,111.75837538031,0.00170801451895386,2.73282329140954,56.8879624064548,107.360451815605,0.00187995762098581,3.00793226080981,70.7713908616507,69.0776677594076,0.00164407584816217,2.63052141585621,7.6641597324208,89.4916050215677,0.00156192167196423,2.49907473100144,65.244787025056,26.292254906409,0.00133541726972908,2.13666767932477,12.2461403501434,46.4221635687738,0.00154158170334995,2.46653078049118,7.94729047709522,79.3182546060691,0.00151355529669672,2.42168852884371,32.0060701046398,14.474015123949,0.00145696685649455,2.33114702249647,41.9597605922926,35.699365387771,0.00157753692474216,2.52405913600458,32.917981091202,90.5147870744648,0.0023691370151937,3.79061930903687,61.8314084617963,11.6676378353228,0.00132905354257673,2.12648571565343,66.2172799756692,49.2920674780987,0.00133398349862546,2.1343736455077,25.9295435007353,124.82273260272,0.00166661117691547,2.66657794266741,57.2200906534389,143.89287565466,0.00170959299430251,2.73534885202383,19.7278245057957,152.269283994429,0.00133256940171123,2.13211109039436,68.9056227162846,84.3535243323445,0.0014391461154446,2.30263383617924
1_7_plate.odb,odb\1_7_plate.odb,ok,,1,7,Load,-1,24,0.000624999986030161,857.142844370433,0.0020221930462867,3.23550894637798,653.217053468188,0.762086573735527,161,161,32.6608531119661,-32.660853208222,0.0500000007450581,-0.0500000007450581,,44.0839057320505,61.7518330435881,0.00156972196418792,2.51155519883831,26.9358810948608,123.067124265088,0.00183684274088591,2.93894845110808,60.6634018786683,66.3458434661684,0.0018663335358724,2.98613372414113,16.8602542617871,10.9945374307653,0.00121686689089984,1.94698706895829,51.124809781257,102.896601947938,0.00159844744484872,2.55751596892288,13.8047658399369,64.456458508708,0.00145607662852854,2.32972265771902,23.8003250679388,47.0455923764594,0.00174157915171236,2.7865267050235,18.4320518908923,37.7574082838615,0.00143802899401635,2.30084644185408,45.1400069898238,132.484155442845,0.00186853960622102,2.98966343677782,56.3610239156798,134.027612213015,0.00179313030093908,2.86900854562987,13.0558170441002,136.587245017131,0.00167713477276266,2.68341569639926,66.4475445987125,96.3906379244699,0.00155017990618944,2.48028790534186,44.1543783551917,18.6699886962751,0.00140934041701257,2.25494471762206,48.8317138247684,45.3795209234966,0.00161101983394474,2.57763179192614,7.08589667955075,151.726409008269,0.0020221930462867,3.23550894637798,8.90028400065825,109.83668899142,0.00171424087602645,2.74278546294835,15.6634515407653,21.3223235330255,0.00136102107353508,2.17763376633004,71.6335448798269,22.6126918550023,0.00178206956479698,2.85131136740695,68.4108806142537,116.113583348096,0.00159761752001941,2.55618808916632,30.4966326664971,136.45749582485,0.00177937385160476,2.84699822620298,46.2144331540677,84.4187944163031,0.00146394630428404,2.34231413920926,65.1363642531026,52.7557383835273,0.00122387649025768,1.95820242818152,64.8417291895828,41.8321654970388,0.00135657843202353,2.17052553975267,69.6696278026498,72.8403639698895,0.00201937393285334,3.23099836478379
1_8_plate.odb,odb\1_8_plate.odb,ok,,1,8,Load,-1,24,0.000624999986030161,857.142844370433,0.00208782544359565,3.34052078441949,653.44046535663,0.762347220942594,161,161,32.6720237613465,-32.6720237480187,0.0500000007450581,-0.0500000007450581,,52.4412045019623,99.0148408016769,0.00177616986911744,2.84187185410869,32.0686521677273,93.4243499487565,0.00153663486707956,2.45861584228164,13.8907532885639,50.1678771660183,0.00163955346215516,2.62328559808326,71.3638244149157,145.735645233026,0.00179705012124032,2.87528025825203,20.2500691687535,110.3252092206,0.0016769488574937,2.68311823196228,54.0797215276427,148.501814116194,0.00145279383286834,2.3244701845453,70.2027584605533,45.3298984037086,0.00140355806797743,2.24569295895903,69.0951333834161,103.605563075724,0.00161177397239953,2.57883841348078,37.8401987995961,27.5105778256453,0.00136855035088956,2.18968061036648,17.6487533096032,71.7841789978003,0.00156163598876446,2.4986176378716,38.3185340411517,58.4710290835629,0.00203436915762722,3.25499072495827,27.7642203377095,57.9479724705271,0.00208782544359565,3.34052078441949,70.5727987506775,74.6582838041558,0.00162234401796013,2.59575048675575,11.2601353760949,144.120618539346,0.00158578436821699,2.53725504585926,50.2149776561733,43.651661987531,0.00174034107476473,2.78454578186301,38.3156202985756,125.763944073776,0.00155894760973752,2.49431623133234,14.7539301375065,130.242226857017,0.00123547890689224,1.97676629521175,68.2475107922411,9.21753405375741,0.00147051957901567,2.35283137901496,15.6935049028688,119.633536845497,0.00143470335751772,2.29552542333734,9.61798663321885,85.5782178456569,0.00180509476922452,2.88815169531446,71.0138187855547,56.1752220144047,0.00148652435746044,2.37843902509896,40.3385636887324,109.901107394551,0.00160392560064793,2.56628101839753,38.0532538374642,10.777455508267,0.00117483665235341,1.87973868578088,10.6729683023404,7.25191365824238,0.00143692595884204,2.29908158553574
1_9_plate.odb,odb\1_9_plate.odb,ok,,1,9,Load,-1,24,0.000624999986030161,857.142844370433,0.00210672500543296,3.3707600840351,645.984588557563,0.753648697880731,161,161,32.2992298706718,-32.2992299476766,0.0500000007450581,-0.0500000007450581,,60.8931112501107,150.87795569552,0.00165154784917831,2.64247661774926,59.4908901524905,35.4816829673952,0.00187624513637275,3.00199228529615,28.4892953358925,64.8633742316329,0.00145865010563284,2.33384022117794,56.711348276231,69.67028146016,0.00147898716386408,2.36637951507523,41.7730263411465,131.126102129283,0.00187990511767566,3.00784825551171,53.7072961452734,11.7666405691731,0.00140843796543777,2.2535007950701,40.7596331996983,49.4401217448979,0.00171591143589467,2.74545835879725,10.5056070531347,34.5929913092012,0.0017889904556796,2.86238479306664,25.8395208824165,141.287698553093,0.00168619526084512,2.69791247765524,22.7124667046802,31.5826164468418,0.00161208224017173,2.57933164192732,17.03605554512,130.465332589063,0.00141595676541328,2.26553087529982,25.2933583796493,95.7597434948284,0.00180754764005542,2.89207628873161,72.3134528421656,30.5359630073629,0.0020036157220602,3.20578522695121,62.7213235231023,137.45584507294,0.00177015387453139,2.83224626255586,34.9033035336849,116.8680795576,0.00154710456263274,2.47536735554116,12.2756154050889,102.905741074616,0.00165876967366785,2.65403153719078,7.65290460682306,49.1989956863018,0.00183146365452558,2.93034191273917,19.1047458534307,12.6599364255917,0.00121154077351093,1.93846528094557,71.1909529304821,145.033534079156,0.00210672500543296,3.3707600840351,62.6144866760356,121.385928792123,0.00142953940667212,2.28726310179971,69.6147294606119,92.9989824565634,0.00161161180585623,2.5785789470057,11.5462666080602,149.729507431802,0.00151254283264279,2.42006858632122,9.96573481667035,86.1664066709059,0.00164700218010694,2.63520354707249,25.2695904022902,49.487436747834,0.001348199788481,2.15711970978498
1_10_plate.odb,odb\1_10_plate.odb,ok,,1,10,Load,-1,24,0.000624999986030161,857.142844370433,0.00209400756284595,3.35041217544106,650.703591341254,0.759154201210409,161,161,32.5351800859345,-32.5351800178149,0.0500000007450581,-0.0500000007450581,,52.3814987394299,32.3241343768964,0.00144543463829905,2.31269547297125,44.5375490800456,7.4029754448443,0.0012211527209729,1.95384439722846,13.5363302580515,52.091125636372,0.00152537401299924,2.44059847535041,20.96052188364,144.543270361354,0.00152838148642331,2.44541043293648,12.290151022814,123.320721646458,0.00164145731832832,2.6263317680284,7.50329079650094,111.357618078051,0.00209400756284595,3.35041217544106,56.6305897242163,45.1615663760734,0.00179585453588516,2.87336732164101,8.28286301408176,98.3598885416958,0.00172294687945396,2.75671506874371,26.0578337415453,88.9840541724707,0.00162725988775492,2.60361587860322,35.9787462599193,59.0258720410516,0.00165793544147164,2.65269676564701,38.5706371598394,47.9311950531363,0.00140941829886287,2.25506932858533,58.2980921188816,78.3569020883911,0.00162213062867522,2.59540906389227,27.8887325439848,123.54331089048,0.00139705534093082,2.2352885954519,62.9222134161787,136.052168936186,0.00142804405186325,2.28487053405204,33.509733321408,99.1076066744301,0.00165274494793266,2.64439197579902,27.0592251426529,74.0604157994518,0.00139189802575856,2.22703689099186,59.6010845147858,99.7895737222626,0.0019164418336004,3.06630700229795,34.1492866119984,141.093462414257,0.00151931366417557,2.4309019170158,46.5492316247203,66.4401365740992,0.0018733125180006,2.99730009579584,51.0714814614255,105.996659621206,0.00195641885511577,3.13027023815223,16.4669482809411,31.9766606028919,0.00141850614454597,2.26960988200329,70.4851362598269,53.4941532892956,0.00177250185515732,2.83600303164131,69.2577291375228,8.14609388934007,0.00154886546079069,2.47818479265686,71.7531353000636,66.7042051762939,0.00190319202374667,3.04510730605812
