序号(),日期时间,时间(s),水平X1力(kN),水平X2力(kN),垂向Y1力(kN),垂向Y2力(kN),水平X1位移(mm),水平X2位移(mm),垂向Y1位移(mm),垂向Y2位移(mm),水平应变1微应变(με),水平应变2微应变(με),垂向应变1微应变(με),垂向应变2微应变(με),应变CH5微应变(με),应变CH6微应变(με),应变CH7微应变(με),应变CH8微应变(με),水平变形(mm),垂向变形(mm)
0,#2026-05-27 13:51:10#,0,0.000127,-7.8E-05,0.124925,0.162613,0.000333,0,0,0,0,0,0,0,0,0,0,0,0,0
1,#2026-05-27 13:51:11#,0,0.000127,-7.8E-05,0.124925,0.162613,0.000333,0,0,0,0,0,0,0,0,0,0,0,0,0
2,#2026-05-27 13:51:11#,0.199999999998909,-5.4E-05,2E-06,0.125047,0.162714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,#2026-05-27 13:51:11#,0.319999999999709,0.000133,-0.000231,0.124925,0.162426,0,-0.000333,0,0,0,0,0,0,0,0,0,0,0,0
4,#2026-05-27 13:51:11#,0.420000000000073,-2.6E-05,-0.000278,0.125,0.16244,0,-0.000333,0,0,0,0,0,0,0,0,0,0,0,0
5,#2026-05-27 13:51:11#,0.520999999998821,-7E-06,-0.000181,0.128934,0.166268,0,0,0,0.000333,0,0,0,0,0,0,0,0,0,0
6,#2026-05-27 13:51:11#,0.620999999999185,0.000155,-5.5E-05,0.148958,0.187064,0.000333,-0.000333,0,0.001333,0,0,0,0,0,0,0,0,0,0
7,#2026-05-27 13:51:11#,0.722999999999956,0.000194,-0.000133,0.201815,0.240962,0,0,0,0.004333,0,0,0,0,0,0,0,0,0,0
8,#2026-05-27 13:51:11#,0.795000000000073,0.000118,-7.4E-05,0.251819,0.291073,0,0,0,0.007333,0,0,0,0,0,0,0,0,0,0
9,#2026-05-27 13:51:11#,0.90099999999984,0.000189,-7.6E-05,0.324845,0.363519,0,-0.000333,-0.000333,0.012,0,0,0,0,0,0,0,0,0,0
10,#2026-05-27 13:51:11#,1.0109999999986,0.000133,-0.000122,0.394197,0.429759,0,0,-0.000333,0.016667,0,0,0,0,0,0,0,0,0,0
11,#2026-05-27 13:51:12#,1.11899999999878,0.000297,5.6E-05,0.44541,0.478371,0,0,-0.000333,0.020667,0,0,0,0,0,0,0,0,0,0
12,#2026-05-27 13:51:12#,1.22400000000016,0.000196,2.9E-05,0.483284,0.514562,0,-0.000333,-0.000333,0.023667,0,0,0,0,0,0,0,0,0,0
13,#2026-05-27 13:51:12#,1.3239999999987,0.000205,8.1E-05,0.518893,0.548926,0,-0.000333,-0.000333,0.026667,0,0,0,0,0,0,0,0,0,0
14,#2026-05-27 13:51:12#,1.42399999999907,0.00034,-0.000124,0.558288,0.586822,0,0,-0.000667,0.03,0,0,0,0,0,0,0,0,0,0
