index,三维坐标X,三维坐标Y,三维坐标Z,位移场DY
144,-0.374078,46.3903,1033.72,0.476146
145,0.510166,46.3985,1034.02,0.480648
146,1.39389,46.4056,1034.31,0.48553
147,2.27915,46.4136,1034.6,0.490063
148,3.16445,46.4207,1034.9,0.495291
149,4.05025,46.4279,1035.19,0.500337
150,4.93678,46.4354,1035.48,0.505152
151,5.82296,46.4427,1035.77,0.509883
152,6.71074,46.4488,1036.06,0.514983
153,7.59854,46.4544,1036.35,0.520118
154,8.48733,46.4613,1036.65,0.524719
155,9.37622,46.469,1036.93,0.528795
156,10.2658,46.4743,1037.21,0.533508
157,11.1556,46.4805,1037.51,0.538336
158,12.0451,46.488,1037.79,0.542243
159,12.9366,46.4963,1038.08,0.546826
160,13.8282,46.5043,1038.37,0.551093
161,14.72,46.5104,1038.66,0.555915
162,15.6125,46.5192,1038.96,0.560508
163,16.5058,46.5271,1039.25,0.565148
164,17.4012,46.5364,1039.55,0.570072
165,18.2948,46.5441,1039.84,0.574907
166,19.1896,46.5495,1040.13,0.580361
167,20.0849,46.5563,1040.42,0.585118
168,20.9802,46.562,1040.71,0.589977
169,21.8759,46.5696,1041,0.594901
170,22.7717,46.5748,1041.29,0.600211
171,23.6686,46.5825,1041.59,0.605489
172,24.5654,46.5908,1041.88,0.610235
173,25.4632,46.5985,1042.17,0.615641
174,26.3617,46.605,1042.46,0.621146
175,27.2602,46.6108,1042.75,0.626637
176,28.1601,46.6179,1043.04,0.631825
177,29.0599,46.6245,1043.32,0.636555
178,29.9611,46.6314,1043.61,0.641595
179,30.862,46.6374,1043.9,0.647202
180,31.7641,46.644,1044.19,0.652849
181,32.6668,46.6511,1044.48,0.658188
182,33.5697,46.6581,1044.78,0.663548
183,34.4729,46.6642,1045.07,0.669625
184,35.3763,46.6705,1045.35,0.675088
185,36.2805,46.6784,1045.64,0.680471
186,37.1849,46.6856,1045.93,0.685568
187,38.0899,46.6925,1046.21,0.691074
188,38.9952,46.6986,1046.5,0.696618
189,39.9014,46.7051,1046.79,0.702277
190,40.8086,46.712,1047.08,0.707733
191,41.7158,46.7183,1047.36,0.713978
192,42.6236,46.7246,1047.64,0.719846
193,43.5324,46.7303,1047.94,0.725748
194,44.4419,46.7371,1048.23,0.731681
195,45.351,46.7438,1048.51,0.73746
196,46.2614,46.7503,1048.81,0.743757
197,47.1718,46.7559,1049.11,0.749547
198,48.0832,46.762,1049.41,0.755332
199,48.9947,46.7685,1049.7,0.761359
200,49.9069,46.7745,1049.99,0.767226
201,50.82,46.7807,1050.28,0.773897
202,51.7329,46.7878,1050.56,0.779916
203,52.6472,46.7944,1050.85,0.786145
204,53.5622,46.8,1051.14,0.792983
205,54.4767,46.8045,1051.43,0.800281
206,55.3921,46.8103,1051.71,0.807142
207,56.3079,46.8158,1052,0.81297
208,57.2256,46.8223,1052.29,0.819599
209,58.1428,46.8282,1052.58,0.825853
210,59.0612,46.8348,1052.88,0.831824
211,59.9791,46.8437,1053.17,0.836812
212,60.8985,46.8515,1053.47,0.842389
213,61.8183,46.8585,1053.76,0.848838
214,62.7387,46.8657,1054.06,0.854848
215,63.6605,46.8714,1054.36,0.861494
216,64.5817,46.8779,1054.66,0.867897
217,65.5037,46.8829,1054.95,0.874897
218,66.4263,46.8891,1055.25,0.881424
219,67.3499,46.8969,1055.55,0.887509
220,68.2739,46.9024,1055.84,0.893714
221,69.1978,46.9091,1056.14,0.899647
222,70.1226,46.9155,1056.43,0.90594
223,71.0486,46.9217,1056.72,0.912767
224,71.9751,46.9294,1057.02,0.919021
225,72.9016,46.9346,1057.32,0.925672
226,73.8292,46.9403,1057.61,0.932549
227,74.7569,46.9462,1057.91,0.93953
228,75.6857,46.9535,1058.21,0.945856
229,76.6142,46.9598,1058.5,0.952075
230,77.544,46.9662,1058.79,0.958071
231,78.4741,46.9717,1059.09,0.96444
232,79.4043,46.9783,1059.38,0.97067
233,80.3367,46.9854,1059.68,0.976843
234,81.2687,46.9922,1059.98,0.982986
235,82.201,46.9977,1060.27,0.989812
236,83.1346,47.0048,1060.57,0.996122
237,84.0683,47.0124,1060.87,1.00219
238,85.0034,47.0198,1061.17,1.00847
239,85.938,47.0268,1061.47,1.01486
240,86.8731,47.0328,1061.77,1.02099
241,-20.5738,45.3489,1026.87,0.369457
242,-19.7013,45.3545,1027.17,0.374172
243,-18.8282,45.3626,1027.48,0.379032
244,-17.9546,45.37,1027.78,0.384144
245,-17.0806,45.3748,1028.08,0.388865
246,-16.206,45.3816,1028.38,0.393332
247,-15.3309,45.3884,1028.68,0.397964
248,-14.455,45.3953,1028.98,0.402718
249,-13.5793,45.403,1029.27,0.407577
250,-12.7029,45.4108,1029.57,0.411636
251,-11.8261,45.4178,1029.86,0.41601
252,-10.9487,45.4252,1030.15,0.420722
253,-10.071,45.4319,1030.45,0.42511
254,-9.19219,45.4389,1030.74,0.429933
255,-8.31332,45.4472,1031.04,0.434972
256,-7.43306,45.4528,1031.33,0.439733
257,-6.55329,45.4605,1031.63,0.44455
258,-5.67258,45.4668,1031.93,0.448846
259,-4.79136,45.4734,1032.23,0.453616
260,-3.90937,45.4807,1032.53,0.458412
261,-3.02754,45.4867,1032.82,0.462583
262,-2.14555,45.4932,1033.11,0.467246
263,-1.26186,45.4997,1033.4,0.471782
264,-0.378632,45.5063,1033.7,0.476531
265,0.505428,45.5138,1033.99,0.481209
266,1.3894,45.521,1034.29,0.48576
267,2.27436,45.5288,1034.58,0.490261
268,3.1598,45.5359,1034.87,0.495554
269,4.0458,45.5433,1035.17,0.500564
270,4.93232,45.5502,1035.46,0.505423
271,5.81852,45.5576,1035.75,0.510152
272,6.70617,45.5636,1036.04,0.515297
273,7.59392,45.5687,1036.33,0.520438
274,8.48263,45.5754,1036.63,0.525053
275,9.3714,45.5828,1036.92,0.529094
276,10.2608,45.5876,1037.2,0.533724
277,11.1508,45.5936,1037.49,0.538524
278,12.0402,45.6011,1037.77,0.542319
279,12.9316,45.6084,1038.06,0.547092
280,13.8228,45.6148,1038.35,0.551558
281,14.7145,45.6208,1038.64,0.55632
282,15.607,45.6302,1038.93,0.560958
283,16.5,45.6378,1039.23,0.565653
284,17.3953,45.6465,1039.53,0.570741
285,18.289,45.6535,1039.83,0.575927
286,19.184,45.6604,1040.11,0.581039
287,20.079,45.6665,1040.4,0.585927
288,20.9744,45.6717,1040.69,0.591029
289,21.8703,45.6788,1040.98,0.596277
290,22.7661,45.6839,1041.27,0.601412
291,23.6626,45.6913,1041.57,0.606531
292,24.5597,45.6979,1041.87,0.611301
293,25.4578,45.7059,1042.16,0.616451
294,26.3562,45.7128,1042.45,0.621632
295,27.2547,45.7184,1042.74,0.627222
296,28.1545,45.7261,1043.03,0.632416
297,29.0547,45.7328,1043.3,0.637155
298,29.9558,45.7397,1043.6,0.642144
299,30.8569,45.7463,1043.89,0.647436
300,31.7588,45.7527,1044.18,0.653025
301,32.6612,45.7598,1044.47,0.658148
302,33.5642,45.7663,1044.76,0.663591
303,34.4674,45.7721,1045.05,0.669432
304,35.3708,45.7786,1045.34,0.674723
305,36.2747,45.7848,1045.63,0.680218
306,37.1792,45.7919,1045.91,0.68553
307,38.0841,45.7983,1046.2,0.691325
308,38.9891,45.8042,1046.49,0.696876
309,39.895,45.8103,1046.78,0.702721
310,40.802,45.8167,1047.07,0.7084
311,41.7099,45.8254,1047.36,0.714758
312,42.6175,45.8308,1047.64,0.720882
313,43.5264,45.8365,1047.94,0.726577
314,44.4359,45.8438,1048.23,0.73236
315,45.3449,45.8507,1048.52,0.738163
316,46.2555,45.8582,1048.81,0.744176
317,47.1658,45.8624,1049.11,0.749963
318,48.0768,45.868,1049.4,0.755737
319,48.9881,45.8738,1049.69,0.761873
320,49.9002,45.8793,1049.98,0.767657
321,50.8137,45.8845,1050.27,0.774182
322,51.7267,45.8907,1050.55,0.780113
323,52.6408,45.8967,1050.84,0.786184
324,53.5559,45.902,1051.13,0.79289
325,54.4707,45.9072,1051.42,0.800072
326,55.3861,45.9128,1051.7,0.806835
327,56.3016,45.9178,1051.99,0.813026
328,57.2191,45.9247,1052.28,0.81967
329,58.1364,45.9297,1052.57,0.826264
330,59.0548,45.9368,1052.87,0.832092
331,59.9721,45.9428,1053.16,0.837701
332,60.8917,45.9501,1053.46,0.843731
333,61.8115,45.9564,1053.75,0.849937
334,62.7317,45.9636,1054.05,0.855883
335,63.6528,45.9699,1054.35,0.86243
336,64.5745,45.9762,1054.65,0.86872
337,65.4961,45.9823,1054.94,0.875204
338,66.419,45.9889,1055.24,0.881322
339,67.3425,45.9966,1055.54,0.887381
340,68.2664,46.002,1055.84,0.893445
341,69.1906,46.0082,1056.13,0.899366
342,70.1154,46.014,1056.42,0.905548
343,71.0413,46.0199,1056.71,0.912554
344,71.968,46.0269,1057.01,0.919062
345,72.8945,46.0321,1057.31,0.925705
346,73.8221,46.038,1057.61,0.932457
347,74.7495,46.0434,1057.9,0.939491
348,75.6783,46.0505,1058.2,0.945794
349,76.6068,46.0572,1058.49,0.951762
350,77.5368,46.0636,1058.79,0.95787
351,78.4666,46.069,1059.08,0.964203
352,79.3971,46.0748,1059.37,0.970574
353,80.3297,46.0821,1059.67,0.976563
354,81.2615,46.0882,1059.97,0.982875
355,82.1938,46.0933,1060.27,0.989572
356,83.1275,46.0995,1060.57,0.995917
357,84.0611,46.1063,1060.87,1.00195
358,84.996,46.1136,1061.17,1.00789
359,85.9308,46.1201,1061.47,1.0143
360,86.8662,46.1261,1061.78,1.02036
361,-20.5777,44.4708,1026.85,0.369152
362,-19.7053,44.477,1027.15,0.373893
363,-18.8323,44.4841,1027.46,0.37875
364,-17.9586,44.4915,1027.76,0.384033
365,-17.0849,44.4962,1028.06,0.388587
366,-16.2104,44.5024,1028.36,0.393154
367,-15.3354,44.5089,1028.65,0.397834
368,-14.4597,44.5153,1028.95,0.402598
369,-13.5839,44.5229,1029.25,0.407464
370,-12.7078,44.5305,1029.54,0.411667
371,-11.8306,44.5374,1029.84,0.416343
372,-10.9532,44.5436,1030.13,0.421051
373,-10.076,44.5488,1030.43,0.425504
374,-9.19713,44.556,1030.71,0.430106
375,-8.31822,44.5646,1031.01,0.434921
376,-7.43774,44.5731,1031.31,0.4391
377,-6.55809,44.5776,1031.61,0.443978
378,-5.67706,44.5837,1031.92,0.448487
379,-4.79527,44.5929,1032.21,0.453265
380,-3.91356,44.6008,1032.52,0.458002
381,-3.032,44.6051,1032.81,0.462428
382,-2.15005,44.6103,1033.1,0.467041
383,-1.2666,44.6162,1033.38,0.471795
384,-0.383584,44.6232,1033.68,0.476518
385,0.500469,44.6303,1033.97,0.481148
386,1.38461,44.6373,1034.27,0.486045
387,2.26969,44.6451,1034.55,0.490412
