index,三维坐标X,三维坐标Y,三维坐标Z,位移场DX
135,-8.30938,46.3269,1031.06,0.00471953
136,-7.42903,46.3335,1031.35,0.00533917
137,-6.54908,46.3421,1031.65,0.00500884
138,-5.66831,46.3481,1031.95,0.00513777
139,-4.78731,46.3551,1032.25,0.00488031
140,-3.90493,46.3628,1032.55,0.00550786
141,-3.02317,46.37,1032.84,0.00498055
142,-2.14093,46.3765,1033.13,0.00443744
143,-1.25716,46.3833,1033.43,0.00494604
144,-0.374078,46.3903,1033.72,0.0042329
145,0.510166,46.3985,1034.02,0.00414789
146,1.39389,46.4056,1034.31,0.00307107
147,2.27915,46.4136,1034.6,0.00299113
148,3.16445,46.4207,1034.9,0.00246715
149,4.05025,46.4279,1035.19,0.00192439
150,4.93678,46.4354,1035.48,0.0016209
151,5.82296,46.4427,1035.77,0.000483309
152,6.71074,46.4488,1036.06,0.000490615
153,7.59854,46.4544,1036.35,1.78179e-06
154,8.48733,46.4613,1036.65,-3.21777e-05
155,9.37622,46.469,1036.93,-0.000453569
156,10.2658,46.4743,1037.21,-0.000519268
157,11.1556,46.4805,1037.51,-0.00111109
158,12.0451,46.488,1037.79,-0.00223585
159,12.9366,46.4963,1038.08,-0.00220327
160,13.8282,46.5043,1038.37,-0.00246794
161,14.72,46.5104,1038.66,-0.00291809
162,15.6125,46.5192,1038.96,-0.00343425
163,16.5058,46.5271,1039.25,-0.00351048
164,17.4012,46.5364,1039.55,-0.00233803
165,18.2948,46.5441,1039.84,-0.00319887
166,19.1896,46.5495,1040.13,-0.0031836
167,20.0849,46.5563,1040.42,-0.003373
168,20.9802,46.562,1040.71,-0.00399768
169,21.8759,46.5696,1041,-0.00479711
170,22.7717,46.5748,1041.29,-0.00582783
171,23.6686,46.5825,1041.59,-0.0066607
172,24.5654,46.5908,1041.88,-0.0079947
173,25.4632,46.5985,1042.17,-0.00870314
174,26.3617,46.605,1042.46,-0.00923766
175,27.2602,46.6108,1042.75,-0.0102401
176,28.1601,46.6179,1043.04,-0.0104627
177,29.0599,46.6245,1043.32,-0.0108652
178,29.9611,46.6314,1043.61,-0.0110212
179,30.862,46.6374,1043.9,-0.0116902
180,31.7641,46.644,1044.19,-0.011783
181,32.6668,46.6511,1044.48,-0.0117619
